HMDB_ID;CPD_NAME;KEGG_ID;MOL_WEIGHT;CHEM_FORM
HMDB0000001;1-Methylhistidine;C01152;169.1811;C7H11N3O2
HMDB0000002;1,3-Diaminopropane;C00986;74.1249;C3H10N2
HMDB0000005;2-Ketobutyric acid;C00109;102.0886;C4H6O3
HMDB0000008;2-Hydroxybutyric acid;C05984;104.105;C4H8O3
HMDB0000010;2-Methoxyestrone;C05299;300.3921;C19H24O3
HMDB0000011;3-Hydroxybutyric acid;C01089;104.1045;C4H8O3
HMDB0000012;Deoxyuridine;C00526;228.202;C9H12N2O5
HMDB0000014;Deoxycytidine;C00881;227.2172;C9H13N3O4
HMDB0000015;Cortexolone;C05488;346.4605;C21H30O4
HMDB0000016;Deoxycorticosterone;C03205;330.4611;C21H30O3
HMDB0000017;4-Pyridoxic acid;C00847;183.1614;C8H9NO4
HMDB0000019;alpha-Ketoisovaleric acid;C00141;116.1152;C5H8O3
HMDB0000020;p-Hydroxyphenylacetic acid;C00642;152.1473;C8H8O3
HMDB0000021;Iodotyrosine;C02515;307.0851;C9H10INO3
HMDB0000022;3-Methoxytyramine;C05587;167.205;C9H13NO2
HMDB0000023;(S)-3-Hydroxyisobutyric acid;C06001;104.1045;C4H8O3
HMDB0000026;Ureidopropionic acid;C02642;132.1179;C4H8N2O3
HMDB0000027;Tetrahydrobiopterin;C00272;241.2471;C9H15N5O3
HMDB0000030;Biotin;C00120;244.311;C10H16N2O3S
HMDB0000031;Androsterone;C00523;290.4403;C19H30O2
HMDB0000032;7-Dehydrocholesterol;C01164;384.6377;C27H44O
HMDB0000033;Carnosine;C00386;226.2325;C9H14N4O3
HMDB0000034;Adenine;C00147;135.1267;C5H5N5
HMDB0000036;Taurocholic acid;C05122;515.703;C26H45NO7S
HMDB0000037;Aldosterone;C01780;360.444;C21H28O5
HMDB0000038;Dihydrobiopterin;C02953;239.2312;C9H13N5O3
HMDB0000039;Butyric acid;C00246;88.1051;C4H8O2
HMDB0000042;Acetic acid;C00033;60.052;C2H4O2
HMDB0000043;Betaine;C00719;118.1543;C5H12NO2
HMDB0000044;Ascorbic acid;C01041;176.1241;C6H8O6
HMDB0000045;Adenosine monophosphate;C00020;347.2212;C10H14N5O7P
HMDB0000050;Adenosine;C00212;267.2413;C10H13N5O4
HMDB0000051;Ammonia;C00014;17.0305;H3N
HMDB0000052;Argininosuccinic acid;C03406;290.2731;C10H18N4O6
HMDB0000053;Androstenedione;C00280;286.4085;C19H26O2
HMDB0000054;Bilirubin;C00486;584.6621;C33H36N4O6
HMDB0000056;beta-Alanine;C00099;89.0932;C3H7NO2
HMDB0000058;Cyclic AMP;C00575;329.2059;C10H12N5O6P
HMDB0000060;Acetoacetic acid;C00164;102.0886;C4H6O3
HMDB0000062;L-Carnitine;C00318;161.1989;C7H15NO3
HMDB0000063;Cortisol;C00735;362.4599;C21H30O5
HMDB0000064;Creatine;C00300;131.1332;C4H9N3O2
HMDB0000067;Cholesterol;C00187;386.6535;C27H46O
HMDB0000068;Epinephrine;C00788;183.2044;C9H13NO3
HMDB0000070;Pipecolic acid;C00408;129.157;C6H11NO2
HMDB0000071;Deoxyinosine;C05512;252.23;C10H12N4O4
HMDB0000073;Dopamine;C03758;153.1784;C8H11NO2
HMDB0000076;Dihydrouracil;C00429;114.1026;C4H6N2O2
HMDB0000077;Dehydroepiandrosterone;C01227;288.4244;C19H28O2
HMDB0000078;Cysteinylglycine;C01419;178.21;C5H10N2O3S
HMDB0000079;Dihydrothymine;C00906;128.131;C5H8N2O2
HMDB0000085;Deoxyguanosine;C00330;267.2413;C10H13N5O4
HMDB0000086;Glycerophosphocholine;C00670;257.223;C8H20NO6P
HMDB0000087;Dimethylamine;C00543;45.0837;C2H7N
HMDB0000089;Cytidine;C00475;243.2166;C9H13N3O5
HMDB0000092;Dimethylglycine;C01026;103.1198;C4H9NO2
HMDB0000094;Citric acid;C00158;192.1235;C6H8O7
HMDB0000097;Choline;C00114;104.1708;C5H14NO
HMDB0000098;D-Xylose;C00181;150.1299;C5H10O5
HMDB0000099;L-Cystathionine;C02291;222.262;C7H14N2O4S
HMDB0000101;Deoxyadenosine;C00559;251.2419;C10H13N5O3
HMDB0000107;Galactitol;C01697;182.1718;C6H14O6
HMDB0000108;Ethanol;C00469;46.0684;C2H6O
HMDB0000112;gamma-Aminobutyric acid;C00334;103.1198;C4H9NO2
HMDB0000115;Glycolic acid;C03547;76.0514;C2H4O3
HMDB0000118;Homovanillic acid;C05582;182.1733;C9H10O4
HMDB0000119;Glyoxylic acid;C00048;74.0355;C2H2O3
HMDB0000121;Folic acid;C00504;441.3975;C19H19N7O6
HMDB0000122;D-Glucose;C00221;180.1559;C6H12O6
HMDB0000123;Glycine;C00037;75.0666;C2H5NO2
HMDB0000124;Fructose 6-phosphate;C00085;260.1358;C6H13O9P
HMDB0000125;Glutathione;C00051;307.323;C10H17N3O6S
HMDB0000126;Glycerol 3-phosphate;C00093;172.0737;C3H9O6P
HMDB0000127;D-Glucuronic acid;C00191;194.1394;C6H10O7
HMDB0000128;Guanidoacetic acid;C00581;117.1066;C3H7N3O2
HMDB0000130;Homogentisic acid;C00544;168.1467;C8H8O4
HMDB0000131;Glycerol;C00116;92.0938;C3H8O3
HMDB0000133;Guanosine;C00387;283.2407;C10H13N5O5
HMDB0000134;Fumaric acid;C00122;116.0722;C4H4O4
HMDB0000138;Glycocholic acid;C01921;465.6227;C26H43NO6
HMDB0000139;Glyceric acid;C00258;106.0773;C3H6O4
HMDB0000142;Formic acid;C00058;46.0254;CH2O2
HMDB0000143;D-Galactose;C00984;180.1559;C6H12O6
HMDB0000145;Estrone;C00468;270.3661;C18H22O2
HMDB0000148;L-Glutamic acid;C00025;147.1293;C5H9NO4
HMDB0000149;Ethanolamine;C00189;61.0831;C2H7NO
HMDB0000150;Gluconolactone;C00198;178.14;C6H10O6
HMDB0000151;Estradiol;C00951;272.382;C18H24O2
HMDB0000152;Gentisic acid;C00628;154.121;C7H6O4
HMDB0000153;Estriol;C05141;288.3814;C18H24O3
HMDB0000156;Malic acid;C00149;134.0874;C4H6O5
HMDB0000157;Hypoxanthine;C00262;136.1115;C5H4N4O
HMDB0000158;L-Tyrosine;C00082;181.1885;C9H11NO3
HMDB0000159;L-Phenylalanine;C00079;165.1891;C9H11NO2
HMDB0000161;L-Alanine;C00041;89.0932;C3H7NO2
HMDB0000162;L-Proline;C00148;115.1305;C5H9NO2
HMDB0000163;D-Maltose;C00208;342.2965;C12H22O11
HMDB0000164;Methylamine;C00218;31.0571;CH5N
HMDB0000167;L-Threonine;C00188;119.1192;C4H9NO3
HMDB0000168;L-Asparagine;C00152;132.1179;C4H8N2O3
HMDB0000169;D-Mannose;C00936;180.1559;C6H12O6
HMDB0000172;L-Isoleucine;C00407;131.1729;C6H13NO2
HMDB0000174;L-Fucose;C01019;164.1565;C6H12O5
HMDB0000175;Inosinic acid;C00130;348.206;C10H13N4O8P
HMDB0000176;Maleic acid;C01384;116.0722;C4H4O4
HMDB0000177;L-Histidine;C00135;155.1546;C6H9N3O2
HMDB0000181;L-Dopa;C00355;197.1879;C9H11NO4
HMDB0000182;L-Lysine;C00047;146.1876;C6H14N2O2
HMDB0000186;Alpha-Lactose;C00243;342.2965;C12H22O11
HMDB0000187;L-Serine;C00065;105.0926;C3H7NO3
HMDB0000190;L-Lactic acid;C00186;90.0779;C3H6O3
HMDB0000191;L-Aspartic acid;C00049;133.1027;C4H7NO4
HMDB0000192;L-Cystine;C00491;240.3;C6H12N2O4S2
HMDB0000193;Isocitric acid;C00311;192.1235;C6H8O7
HMDB0000194;Anserine;C01262;240.259;C10H16N4O3
HMDB0000195;Inosine;C00294;268.2261;C10H12N4O5
HMDB0000197;Indoleacetic acid;C00954;175.184;C10H9NO2
HMDB0000201;L-Acetylcarnitine;C02571;203.238;C9H17NO4
HMDB0000202;Methylmalonic acid;C02170;118.088;C4H6O4
HMDB0000205;Phenylpyruvic acid;C00166;164.158;C9H8O3
HMDB0000206;N6-Acetyl-L-lysine;C02727;188.2242;C8H16N2O3
HMDB0000207;Oleic acid;C00712;282.4614;C18H34O2
HMDB0000208;Oxoglutaric acid;C00026;146.0981;C5H6O5
HMDB0000209;Phenylacetic acid;C07086;136.1479;C8H8O2
HMDB0000210;Pantothenic acid;C00864;219.235;C9H17NO5
HMDB0000211;myo-Inositol;C00137;180.1559;C6H12O6
HMDB0000214;Ornithine;C00077;132.161;C5H12N2O2
HMDB0000215;N-Acetyl-D-glucosamine;C00140;221.2078;C8H15NO6
HMDB0000216;Norepinephrine;C00547;169.1778;C8H11NO3
HMDB0000217;NADP;C00006;743.405;C21H28N7O17P3
HMDB0000220;Palmitic acid;C00249;256.4241;C16H32O2
HMDB0000221;NADPH;C00005;745.4209;C21H30N7O17P3
HMDB0000222;L-Palmitoylcarnitine;C02990;399.6077;C23H45NO4
HMDB0000224;O-Phosphoethanolamine;C00346;141.063;C2H8NO4P
HMDB0000225;Oxoadipic acid;C00322;160.1247;C6H8O5
HMDB0000226;Orotic acid;C00295;156.0963;C5H4N2O4
HMDB0000227;Mevalonic acid;C00418;148.1571;C6H12O4
HMDB0000228;Phenol;C15584;94.1112;C6H6O
HMDB0000229;Nicotinamide ribotide;C00455;335.2271;C11H16N2O8P
HMDB0000230;N-Acetylneuraminic acid;C19910;309.2699;C11H19NO9
HMDB0000232;Quinolinic acid;C03722;167.1189;C7H5NO4
HMDB0000234;Testosterone;C00535;288.4244;C19H28O2
HMDB0000235;Thiamine;C00378;265.355;C12H17N4OS
HMDB0000237;Propionic acid;C00163;74.0785;C3H6O2
HMDB0000239;Pyridoxine;C00314;169.1778;C8H11NO3
HMDB0000240;Sulfite;C00094;82.079;H2O3S
HMDB0000241;Protoporphyrin IX;C02191;562.6582;C34H34N4O4
HMDB0000243;Pyruvic acid;C00022;88.0621;C3H4O3
HMDB0000244;Riboflavin;C00255;376.3639;C17H20N4O6
HMDB0000245;Porphobilinogen;C00931;226.2292;C10H14N2O4
HMDB0000246;Tetrahydrofuran;;72.1057;C4H8O
HMDB0000247;Sorbitol;C00794;182.1718;C6H14O6
HMDB0000248;Thyroxine;C01829;776.87;C15H11I4NO4
HMDB0000250;Pyrophosphate;C00013;177.9751;H4O7P2
HMDB0000251;Taurine;C00245;125.147;C2H7NO3S
HMDB0000252;Sphingosine;C00319;299.4919;C18H37NO2
HMDB0000253;Pregnenolone;C01953;316.4776;C21H32O2
HMDB0000254;Succinic acid;C00042;118.088;C4H6O4
HMDB0000256;Squalene;C00751;410.73;C30H50
HMDB0000257;Thiosulfate;C05529;114.144;H2O3S2
HMDB0000258;Sucrose;C00089;342.2965;C12H22O11
HMDB0000259;Serotonin;C00780;176.2151;C10H12N2O
HMDB0000262;Thymine;C00178;126.1133;C5H6N2O2
HMDB0000263;Phosphoenolpyruvic acid;C00074;168.042;C3H5O6P
HMDB0000265;Liothyronine;C02465;650.9735;C15H12I3NO4
HMDB0000267;Pyroglutamic acid;C01879;129.114;C5H7NO3
HMDB0000268;Tetrahydrocorticosterone;C05476;350.4923;C21H34O4
HMDB0000269;Sphinganine;C00836;301.5078;C18H39NO2
HMDB0000271;Sarcosine;C00213;89.0932;C3H7NO2
HMDB0000272;Phosphoserine;C01005;185.0725;C3H8NO6P
HMDB0000273;Thymidine;C00214;242.2286;C10H14N2O5
HMDB0000277;Sphingosine 1-phosphate;C06124;379.4718;C18H38NO5P
HMDB0000279;Saccharopine;C00449;276.2863;C11H20N2O6
HMDB0000280;Phosphoribosyl pyrophosphate;C00119;390.0696;C5H13O14P3
HMDB0000283;D-Ribose;C00121;150.1299;C5H10O5
HMDB0000286;Uridine diphosphate glucose;C00029;566.3018;C15H24N2O17P2
HMDB0000288;Uridine 5'-monophosphate;C00105;324.1813;C9H13N2O9P
HMDB0000289;Uric acid;C00366;168.1103;C5H4N4O3
HMDB0000291;Vanillylmandelic acid;C05584;198.1727;C9H10O5
HMDB0000292;Xanthine;C00385;152.1109;C5H4N4O2
HMDB0000294;Urea;C00086;60.0553;CH4N2O
HMDB0000295;Uridine 5'-diphosphate;C00015;404.1612;C9H14N2O12P2
HMDB0000296;Uridine;C00299;244.2014;C9H12N2O6
HMDB0000299;Xanthosine;C01762;284.2255;C10H12N4O6
HMDB0000300;Uracil;C00106;112.0868;C4H4N2O2
HMDB0000301;Urocanic acid;C00785;138.124;C6H6N2O2
HMDB0000303;Tryptamine;C00398;160.2157;C10H12N2
HMDB0000305;Vitamin A;C17276;286.4516;C20H30O
HMDB0000306;Tyramine;C00483;137.179;C8H11NO
HMDB0000308;3b-Hydroxy-5-cholenoic acid;;374.5567;C24H38O3
HMDB0000315;16-a-Hydroxypregnenolone;C06390  ;332.477;C21H32O3
HMDB0000317;2-Hydroxy-3-methylpentanoic acid;;132.1577;C6H12O3
HMDB0000318;3,4-Dihydroxyphenylglycol;C05576;170.1626;C8H10O4
HMDB0000319;18-Hydroxycorticosterone;C01124;362.4599;C21H30O5
HMDB0000321;2-Hydroxyadipic acid;C02360;162.1406;C6H10O5
HMDB0000325;3-Hydroxysuberic acid;;190.1938;C8H14O5
HMDB0000326;1b,3a,12a-Trihydroxy-5b-cholanoic acid;;408.5714;C24H40O5
HMDB0000332;18-Oxocortisol;;376.4434;C21H28O6
HMDB0000335;16a-Hydroxyestrone;C05300;286.3655;C18H22O3
HMDB0000336;(R)-3-Hydroxyisobutyric acid;;104.1045;C4H8O3
HMDB0000337;(S)-3,4-Dihydroxybutyric acid;;120.1039;C4H8O4
HMDB0000343;2-Hydroxyestrone;C05298;286.3655;C18H22O3
HMDB0000345;3-Hydroxyadipic acid;;162.1406;C6H10O5
HMDB0000347;16b-Hydroxyestradiol;;288.3814;C18H24O3
HMDB0000350;3-Hydroxysebacic acid;;218.249;C10H18O5
HMDB0000352;16a-Hydroxydehydroisoandrosterone;C05139;304.4238;C19H28O3
HMDB0000359;3alpha,7alpha-Dihydroxycoprostanic acid;;434.661;C27H46O4
HMDB0000360;2,4-Dihydroxybutanoic acid;;120.1039;C4H8O4
HMDB0000362;2-Phosphoglyceric acid;;186.0572;C3H7O7P
HMDB0000363;17a-Hydroxypregnenolone;C05138;332.477;C21H32O3
HMDB0000365;Epiandrosterone;C07635;290.4403;C19H30O2
HMDB0000369;3b,17b-Dihydroxyetiocholane;;292.4562;C19H32O2
HMDB0000374;17-Hydroxyprogesterone;C01176;330.4611;C21H30O3
HMDB0000375;3-(3-Hydroxyphenyl)propanoic acid;C11457;166.1739;C9H10O3
HMDB0000379;2-Methylcitric acid;;206.1501;C7H10O7
HMDB0000380;2-Hydroxyestradiol-3-methyl ether;;302.4079;C19H26O3
HMDB0000387;3-Hydroxydodecanoic acid;;216.321;C12H24O3
HMDB0000394;3-Hydroxytetradecanedioic acid;;274.3532;C14H26O5
HMDB0000396;2-Ethylhydracrylic acid;;118.1311;C5H10O3
HMDB0000397;2-Pyrocatechuic acid;C00196;154.121;C7H6O4
HMDB0000405;2-Methoxyestradiol;C05302;302.4079;C19H26O3
HMDB0000407;2-Hydroxy-3-methylbutyric acid;;118.1311;C5H10O3
HMDB0000413;3-Hydroxydodecanedioic acid;;246.3001;C12H22O5
HMDB0000416;17-Hydroxypregnenolone sulfate;;412.54;C21H32O6S
HMDB0000418;18-Hydroxycortisol;;378.4593;C21H30O6
HMDB0000422;2-Methylglutaric acid;;146.1412;C6H10O4
HMDB0000423;3,4-Dihydroxyhydrocinnamic acid;C10447;182.1733;C9H10O4
HMDB0000424;2-Hydroxydecanedioic acid;;218.2469;C10H18O5
HMDB0000426;Citramalic acid;C00815;148.114;C5H8O5
HMDB0000428;3-Hydroxyglutaric acid;;148.114;C5H8O5
HMDB0000429;17a-Estradiol;C02537;272.382;C18H24O2
HMDB0000430;24,25-Dihydroxyvitamin D;;416.6365;C27H44O3
HMDB0000434;Homoveratric acid;;196.1999;C10H12O4
HMDB0000439;2-Furoylglycine;;169.1348;C7H7NO4
HMDB0000440;3-Hydroxyphenylacetic acid;C05593;152.1473;C8H8O3
HMDB0000442;(S)-3-Hydroxybutyric acid;C03197;104.1045;C4H8O3
HMDB0000448;Adipic acid;C06104;146.1412;C6H10O4
HMDB0000449;5a-Tetrahydrocorticosterone;;350.4923;C21H34O4
HMDB0000450;5-Hydroxylysine;C16741;162.187;C6H14N2O3
HMDB0000452;L-alpha-Aminobutyric acid;C02356;103.1198;C4H9NO2
HMDB0000459;3-Methylcrotonylglycine;;157.1671;C7H11NO3
HMDB0000462;Allantoin;C01551;158.1154;C4H6N4O3
HMDB0000464;Calcium;C00076;40.078;Ca
HMDB0000468;Biopterin;C06313;237.2153;C9H11N5O3
HMDB0000469;5-Hydroxymethyluracil;C03088;142.1127;C5H6N2O3
HMDB0000472;5-Hydroxy-L-tryptophan;C00643;220.2246;C11H12N2O3
HMDB0000473;6-Dimethylaminopurine;;163.1799;C7H9N5
HMDB0000474;Butanone;C02845;72.1057;C4H8O
HMDB0000479;3-Methylhistidine;C01152;169.1811;C7H11N3O2
HMDB0000481;Allopurinol riboside;;268.2261;C10H12N4O5
HMDB0000482;Caprylic acid;C06423;144.2114;C8H16O2
HMDB0000484;Vanillic acid;C06672;168.148;C8H8O4
HMDB0000490;Etiocholanolone;C04373;290.4403;C19H30O2
HMDB0000491;3-Methyl-2-oxovaleric acid;C00671;130.1418;C6H10O3
HMDB0000492;Chloride ion;C00698;35.453;Cl
HMDB0000493;5alpha-Androstane-3beta,17beta-diol;C12525;292.4562;C19H32O2
HMDB0000494;Stigmastanol;;416.734;C29H52O
HMDB0000495;Androstanediol;C07632;292.4562;C19H32O2
HMDB0000496;3-Methoxy-4-hydroxyphenylglycol glucuronide;C03033;360.3133;C15H20O10
HMDB0000497;5,6-Dihydrouridine;;246.2173;C9H14N2O6
HMDB0000498;4-Deoxyerythronic acid;;120.1039;C4H8O4
HMDB0000499;5-Tetradecenoic acid;;226.355;C14H26O2
HMDB0000500;4-Hydroxybenzoic acid;C00156;138.122;C7H6O3
HMDB0000501;7-Ketocholesterol;;400.6371;C27H44O2
HMDB0000508;Ribitol;C00474;152.1458;C5H12O5
HMDB0000510;Aminoadipic acid;C00956;161.1558;C6H11NO4
HMDB0000511;Capric acid;C01571;172.2646;C10H20O2
HMDB0000517;L-Arginine;C00062;174.201;C6H14N4O2
HMDB0000518;Chenodeoxycholic acid;C02528;392.572;C24H40O4
HMDB0000521;5Z-Tetradecenoic acid;;226.355;C14H26O2
HMDB0000525;5-Hydroxyhexanoic acid;;132.1577;C6H12O3
HMDB0000526;5alpha-Tetrahydrocortisol;;366.4917;C21H34O5
HMDB0000531;3-Hydroxyvaleric acid;;118.1311;C5H10O3
HMDB0000532;Acetylglycine;;117.1033;C4H7NO3
HMDB0000534;Campestanol;;402.696;C28H50O
HMDB0000535;Caproic acid;C01585;116.1583;C6H12O2
HMDB0000538;Adenosine triphosphate;C00002;507.181;C10H16N5O13P3
HMDB0000546;Epietiocholanolone;;290.4403;C19H30O2
HMDB0000547;Magnesium;C00305;24.305;Mg
HMDB0000549;gamma-Butyrolactone;C01770;86.0892;C4H6O2
HMDB0000550;5-Androstenetriol;;306.4397;C19H30O3
HMDB0000551;Etiocholanediol;;292.4562;C19H32O2
HMDB0000552;3-Methylglutarylcarnitine;;289.328;C13H23NO6
HMDB0000554;Dihydroandrosterone;;292.4562;C19H32O2
HMDB0000555;3-Methyladipic acid;;160.1678;C7H12O4
HMDB0000557;L-Alloisoleucine;;131.1729;C6H13NO2
HMDB0000561;beta-Carotene;C02094;536.888;C40H56
HMDB0000562;Creatinine;C00791;113.1179;C4H7N3O
HMDB0000564;PC(16:0/16:0);C00157;734.0389;C40H80NO8P
HMDB0000565;Galactonic acid;C00880;196.1553;C6H12O7
HMDB0000567;Cinnamic acid;C10438;148.1586;C9H8O2
HMDB0000568;D-Arabitol;C01904;152.1458;C5H12O5
HMDB0000569;Deoxypyridinoline;;412.4375;C18H28N4O7
HMDB0000570;Coproporphyrin III;C05770;654.7089;C36H38N4O8
HMDB0000573;Elaidic acid;C01712;282.4614;C18H34O2
HMDB0000574;L-Cysteine;C00097;121.158;C3H7NO2S
HMDB0000575;DL-Homocystine;C01817;268.354;C8H16N2O4S2
HMDB0000580;Chondroitin sulfate;C00607;;(C14H21NO17S2)nH2O
HMDB0000582;3,5-Diiodothyronine;;525.077;C15H13I2NO4
HMDB0000585;Glucosylgalactosyl hydroxylysine;;486.4682;C18H34N2O13
HMDB0000586;Potassium;C00238;39.0983;K
HMDB0000588;Sodium;C01330;22.9898;Na
HMDB0000593;PC(18:1(9Z)/18:1(9Z));;786.1134;C44H84NO8P
HMDB0000595;Hydrogen carbonate;C01353;62.0248;CH2O3
HMDB0000598;Sulfide;C00087;32.065;S
HMDB0000599;Chromium;C19368;51.9961;Cr
HMDB0000600;Galactosylhydroxylysine;C05547;324.3276;C12H24N2O8
HMDB0000601;Coprocholic acid;;450.6511;C27H46O5
HMDB0000606;D-2-Hydroxyglutaric acid;C01087;148.114;C5H8O5
HMDB0000607;Cyanocobalamin;C02823;1356.3731;C63H89CoN14O14P
HMDB0000608;Cobalt;C00175;58.9332;Co
HMDB0000609;DL-Dopa;C00355;197.1879;C9H11NO4
HMDB0000610;CE(18:2(9Z,12Z));C15441;649.101;C45H76O2
HMDB0000613;Erythronic acid;;136.1033;C4H8O5
HMDB0000618;D-Ribulose 5-phosphate;C00199;230.1098;C5H11O8P
HMDB0000619;Cholic acid;C00695;408.5714;C24H40O5
HMDB0000622;Ethylmalonic acid;;132.1146;C5H8O4
HMDB0000623;Dodecanedioic acid;C02678;230.3007;C12H22O4
HMDB0000625;Gluconic acid;C00257;196.1553;C6H12O7
HMDB0000626;Deoxycholic acid;C04483;392.572;C24H40O4
HMDB0000628;Epitestosterone;;288.4244;C19H28O2
HMDB0000630;Cytosine;C00380;111.102;C4H5N3O
HMDB0000631;Deoxycholic acid glycine conjugate;C05464 ;449.6233;C26H43NO5
HMDB0000634;Citraconic acid;C02226;130.0987;C5H6O4
HMDB0000635;Succinylacetone;;158.1519;C7H10O4
HMDB0000637;Chenodeoxycholic acid glycine conjugate;C05466;449.6233;C26H43NO5
HMDB0000638;Dodecanoic acid;C02679;200.3178;C12H24O2
HMDB0000641;L-Glutamine;C00064;146.1445;C5H10N2O3
HMDB0000643;Coproporphyrin I;C05769;654.7089;C36H38N4O8
HMDB0000645;Galactose 1-phosphate;C00446;260.1358;C6H13O9P
HMDB0000646;L-Arabinose;C02479;150.1299;C5H10O5
HMDB0000650;D-alpha-Aminobutyric acid;C02261;103.1198;C4H9NO2
HMDB0000651;Decanoylcarnitine;;315.4482;C17H33NO4
HMDB0000653;Cholesterol sulfate;C18043;466.717;C27H46O4S
HMDB0000657;Copper;C00070;63.546;Cu
HMDB0000658;CE(16:1(9Z));;623.063;C43H74O2
HMDB0000660;D-Fructose;C02336;180.1559;C6H12O6
HMDB0000661;Glutaric acid;C00489;132.1146;C5H8O4
HMDB0000662;Fluoride;C00742;18.9984;F
HMDB0000667;L-Thyronine;;273.2839;C15H15NO4
HMDB0000669;ortho-Hydroxyphenylacetic acid;C05852;152.1473;C8H8O3
HMDB0000670;Homo-L-arginine;C01924;188.2275;C7H16N4O2
HMDB0000671;Indolelactic acid;C02043;205.2099;C11H11NO3
HMDB0000673;Linoleic acid;C01595;280.4455;C18H32O2
HMDB0000674;PA(16:0/16:0);C00416;648.903;C35H69O8P
HMDB0000675;Iodine;C01382;253.8089;I2
HMDB0000676;L-Homocystine;C01817;268.354;C8H16N2O4S2
HMDB0000678;Isovalerylglycine;;159.183;C7H13NO3
HMDB0000679;Homocitrulline;C02427;189.2123;C7H15N3O3
HMDB0000682;Indoxyl sulfate;;213.21;C8H7NO4S
HMDB0000684;L-Kynurenine;C00328;208.2139;C10H12N2O3
HMDB0000686;Isoursodeoxycholic acid;C17662;392.572;C24H40O4
HMDB0000687;L-Leucine;C00123;131.1729;C6H13NO2
HMDB0000688;Isovalerylcarnitine;;245.3153;C12H23NO4
HMDB0000691;Malonic acid;C04025;104.0615;C3H4O4
HMDB0000692;Fe2+;C14818;55.845;Fe
HMDB0000693;Heparan sulfate;C00925;639.52;C14H25NO21S3
HMDB0000694;L-2-Hydroxyglutaric acid;C03196;148.114;C5H8O5
HMDB0000695;Ketoleucine;C00233;130.1418;C6H10O3
HMDB0000696;L-Methionine;C00073;149.211;C5H11NO2S
HMDB0000698;Lithocholic acid glycine conjugate;C15557;433.6239;C26H43NO4
HMDB0000699;1-Methylnicotinamide;C02918;137.1592;C7H9N2O
HMDB0000700;Hydroxypropionic acid;C01013;90.0779;C3H6O3
HMDB0000701;Hexanoylglycine;;173.2096;C8H15NO3
HMDB0000706;Aspartylphenylalanine;;280.2765;C13H16N2O5
HMDB0000707;4-Hydroxyphenylpyruvic acid;C01179;180.1574;C9H8O4
HMDB0000708;Glycoursodeoxycholic acid;;449.6233;C26H43NO5
HMDB0000709;L-Cysteinylglycine disulfide;;297.352;C8H15N3O5S2
HMDB0000710;4-Hydroxybutyric acid;C01991;104.1045;C4H8O3
HMDB0000714;Hippuric acid;C01586;179.1727;C9H9NO3
HMDB0000715;Kynurenic acid;C01717;189.1675;C10H7NO3
HMDB0000716;L-Pipecolic acid;C00408;129.157;C6H11NO2
HMDB0000718;Isovaleric acid;C08262;102.1317;C5H10O2
HMDB0000719;L-Homoserine;C00263;119.1192;C4H9NO3
HMDB0000720;Levulinic acid;;116.1152;C5H8O3
HMDB0000721;Glycylproline;;172.1818;C7H12N2O3
HMDB0000722;Lithocholyltaurine;C02592;483.704;C26H45NO5S
HMDB0000725;4-Hydroxyproline;C01157;131.1299;C5H9NO3
HMDB0000729;alpha-Hydroxyisobutyric acid;;104.1045;C4H8O3
HMDB0000731;Cysteine-S-sulfate;C05824;201.221;C3H7NO5S2
HMDB0000732;Hydroxykynurenine;C02794;224.2133;C10H12N2O4
HMDB0000733;Hyodeoxycholic acid;;392.572;C24H40O4
HMDB0000735;Hydroxyphenylacetylglycine;C05596;209.1986;C10H11NO4
HMDB0000736;Isobutyryl-L-carnitine;;231.292;C11H21NO4
HMDB0000739;Isodesmosine;;526.6031;C24H40N5O8
HMDB0000740;Lactulose;C07064;342.2965;C12H22O11
HMDB0000742;Homocysteine;C00155;135.185;C4H9NO2S
HMDB0000746;Hydroxyisocaproic acid;;132.1577;C6H12O3
HMDB0000748;L-3-Phenyllactic acid;C05607;166.1739;C9H10O3
HMDB0000750;3-Hydroxymandelic acid;;168.1467;C8H8O4
HMDB0000751;L-Xylulose;C00312;150.13;C5H10O5
HMDB0000752;Methylglutaric acid;;146.1412;C6H10O4
HMDB0000754;3-Hydroxyisovaleric acid;;118.1311;C5H10O3
HMDB0000755;Hydroxyphenyllactic acid;C03672;182.1733;C9H10O4
HMDB0000756;Hexanoylcarnitine;;259.3419;C13H25NO4
HMDB0000757;Glycogen;C00182;666.5777;C24H42O21
HMDB0000761;Lithocholic acid;C03990;376.5726;C24H40O3
HMDB0000763;5-Hydroxyindoleacetic acid;C05635;191.1834;C10H9NO3
HMDB0000764;Hydrocinnamic acid;C05629;150.1745;C9H10O2
HMDB0000765;Mannitol;C00392;182.1718;C6H14O6
HMDB0000767;Pseudouridine;C02067;244.2014;C9H12N2O6
HMDB0000774;Pregnenolone sulfate;;396.541;C21H32O5S
HMDB0000779;Phenyllactic acid;C01479;166.1739;C9H10O3
HMDB0000784;Azelaic acid;C08261;188.2209;C9H16O4
HMDB0000786;Oxypurinol;C07599;152.1109;C5H4N4O2
HMDB0000788;Orotidine;C01103;288.2109;C10H12N2O8
HMDB0000791;L-Octanoylcarnitine;C02838;287.3951;C15H29NO4
HMDB0000792;Sebacic acid;C08277;202.2475;C10H18O4
HMDB0000795;Pristanic acid;;298.511;C19H38O2
