HMDB_ID;CPD_NAME;KEGG_ID;MOL_WEIGHT;CHEM_FORM
HMDB0086724;CL(i-12:0/a-13:0/a-17:0/i-14:0)[rac];;1241.654;C65H126O17P2
HMDB0086725;CL(i-12:0/a-13:0/i-17:0/i-14:0)[rac];;1241.654;C65H126O17P2
HMDB0086726;CL(i-12:0/a-13:0/i-17:0/a-15:0)[rac];;1255.681;C66H128O17P2
HMDB0086727;CL(i-12:0/i-13:0/i-17:0/i-15:0);;1255.681;C66H128O17P2
HMDB0086728;CL(i-12:0/i-13:0/a-17:0/i-15:0)[rac];;1255.681;C66H128O17P2
HMDB0086729;CL(i-12:0/a-13:0/a-17:0/a-15:0)[rac];;1255.681;C66H128O17P2
HMDB0086730;CL(i-12:0/i-13:0/a-17:0/a-15:0)[rac];;1255.681;C66H128O17P2
HMDB0086731;CL(i-12:0/a-13:0/a-17:0/i-15:0)[rac];;1255.681;C66H128O17P2
HMDB0086732;CL(i-12:0/a-13:0/i-17:0/i-15:0)[rac];;1255.681;C66H128O17P2
HMDB0086733;CL(i-12:0/i-13:0/i-17:0/a-15:0)[rac];;1255.681;C66H128O17P2
HMDB0086734;CL(i-12:0/i-13:0/i-17:0/i-16:0);;1269.708;C67H130O17P2
HMDB0086735;CL(i-12:0/i-13:0/a-17:0/i-16:0)[rac];;1269.708;C67H130O17P2
HMDB0086736;CL(i-12:0/a-13:0/a-17:0/i-16:0)[rac];;1269.708;C67H130O17P2
HMDB0086737;CL(i-12:0/a-13:0/i-17:0/i-16:0)[rac];;1269.708;C67H130O17P2
HMDB0086738;CL(i-12:0/a-13:0/i-17:0/a-17:0)[rac];;1283.735;C68H132O17P2
HMDB0086739;CL(i-12:0/i-13:0/i-17:0/i-17:0);;1283.735;C68H132O17P2
HMDB0086740;CL(i-12:0/i-13:0/a-17:0/i-17:0)[rac];;1283.735;C68H132O17P2
HMDB0086741;CL(i-12:0/a-13:0/a-17:0/a-17:0)[rac];;1283.735;C68H132O17P2
HMDB0086742;CL(i-12:0/i-13:0/a-17:0/a-17:0)[rac];;1283.735;C68H132O17P2
HMDB0086743;CL(i-12:0/a-13:0/a-17:0/i-17:0)[rac];;1283.735;C68H132O17P2
HMDB0086744;CL(i-12:0/a-13:0/i-17:0/i-17:0)[rac];;1283.735;C68H132O17P2
HMDB0086745;CL(i-12:0/i-13:0/i-17:0/a-17:0)[rac];;1283.735;C68H132O17P2
HMDB0086746;CL(i-12:0/i-13:0/i-17:0/18:2(9Z,11Z));;1293.73;C69H130O17P2
HMDB0086747;CL(i-12:0/a-13:0/i-17:0/18:2(9Z,11Z))[rac];;1293.73;C69H130O17P2
HMDB0086748;CL(i-12:0/i-13:0/i-17:0/i-18:0);;1297.762;C69H134O17P2
HMDB0086749;CL(i-12:0/i-13:0/a-17:0/i-18:0)[rac];;1297.762;C69H134O17P2
HMDB0086750;CL(i-12:0/i-13:0/a-17:0/18:2(9Z,11Z))[rac];;1293.73;C69H130O17P2
HMDB0086751;CL(i-12:0/a-13:0/a-17:0/18:2(9Z,11Z))[rac];;1293.73;C69H130O17P2
HMDB0086752;CL(i-12:0/a-13:0/a-17:0/i-18:0)[rac];;1297.762;C69H134O17P2
HMDB0086753;CL(i-12:0/a-13:0/i-17:0/i-18:0)[rac];;1297.762;C69H134O17P2
HMDB0086754;CL(i-12:0/i-13:0/i-17:0/i-19:0);;1311.789;C70H136O17P2
HMDB0086755;CL(i-12:0/i-13:0/a-17:0/i-19:0)[rac];;1311.789;C70H136O17P2
HMDB0086756;CL(i-12:0/a-13:0/a-17:0/i-19:0)[rac];;1311.789;C70H136O17P2
HMDB0086757;CL(i-12:0/a-13:0/i-17:0/i-19:0)[rac];;1311.789;C70H136O17P2
HMDB0086758;CL(i-12:0/i-13:0/i-17:0/i-20:0);;1325.816;C71H138O17P2
HMDB0086759;CL(i-12:0/i-13:0/a-17:0/i-20:0)[rac];;1325.816;C71H138O17P2
HMDB0086760;CL(i-12:0/a-13:0/a-17:0/i-20:0)[rac];;1325.816;C71H138O17P2
HMDB0086761;CL(i-12:0/a-13:0/i-17:0/i-20:0)[rac];;1325.816;C71H138O17P2
HMDB0086762;CL(i-12:0/a-13:0/i-17:0/a-21:0)[rac];;1339.843;C72H140O17P2
HMDB0086763;CL(i-12:0/i-13:0/i-17:0/i-21:0);;1339.843;C72H140O17P2
HMDB0086764;CL(i-12:0/i-13:0/a-17:0/i-21:0)[rac];;1339.843;C72H140O17P2
HMDB0086765;CL(i-12:0/a-13:0/a-17:0/a-21:0)[rac];;1339.843;C72H140O17P2
HMDB0086766;CL(i-12:0/i-13:0/a-17:0/a-21:0)[rac];;1339.843;C72H140O17P2
HMDB0086767;CL(i-12:0/a-13:0/a-17:0/i-21:0)[rac];;1339.843;C72H140O17P2
HMDB0086768;CL(i-12:0/a-13:0/i-17:0/i-21:0)[rac];;1339.843;C72H140O17P2
HMDB0086769;CL(i-12:0/i-13:0/i-17:0/a-21:0)[rac];;1339.843;C72H140O17P2
HMDB0086770;CL(i-12:0/i-13:0/i-17:0/i-22:0);;1353.87;C73H142O17P2
HMDB0086771;CL(i-12:0/i-13:0/a-17:0/i-22:0)[rac];;1353.87;C73H142O17P2
HMDB0086772;CL(i-12:0/a-13:0/a-17:0/i-22:0)[rac];;1353.87;C73H142O17P2
HMDB0086773;CL(i-12:0/a-13:0/i-17:0/i-22:0)[rac];;1353.87;C73H142O17P2
HMDB0086774;CL(i-12:0/i-13:0/i-17:0/i-24:0);;1381.924;C75H146O17P2
HMDB0086775;CL(i-12:0/i-13:0/a-17:0/i-24:0)[rac];;1381.924;C75H146O17P2
HMDB0086776;CL(i-12:0/a-13:0/a-17:0/i-24:0)[rac];;1381.924;C75H146O17P2
